ASUSTeK COMPUTER INC. 1025C	14115
ASUSTeK COMPUTER INC. E200HA	14115
ASUSTeK COMPUTER INC. E402MA	14115
ASUSTeK COMPUTER INC. E402SA	14115
ASUSTeK COMPUTER INC. E502MA	14115
ASUSTeK COMPUTER INC. E502SA	14115
ASUSTeK COMPUTER INC. G551JW	14119
ASUSTeK COMPUTER INC. G551JX	14119
ASUSTeK COMPUTER INC. GL552JX	14119
ASUSTeK COMPUTER INC. GL552VW	14119
ASUSTeK COMPUTER INC. GL552VX	14119
ASUSTeK COMPUTER INC. K401LB	14118
ASUSTeK COMPUTER INC. K401UB	14118
ASUSTeK COMPUTER INC. K45A	14115
ASUSTeK COMPUTER INC. K45VD	14118
ASUSTeK COMPUTER INC. K46CA	14115
ASUSTeK COMPUTER INC. K46CM	14115
ASUSTeK COMPUTER INC. K501LB	14118
ASUSTeK COMPUTER INC. K501LX	14115
ASUSTeK COMPUTER INC. K501UB	14118
ASUSTeK COMPUTER INC. K501UX	14118
ASUSTeK COMPUTER INC. K55A	14118
ASUSTeK COMPUTER INC. K55VD	14118
ASUSTeK COMPUTER INC. K55VM	14119
ASUSTeK COMPUTER INC. K56CA	14118
ASUSTeK COMPUTER INC. K56CM	14118
ASUSTeK COMPUTER INC. N550JV	14119
ASUSTeK COMPUTER INC. N550LF	14119
ASUSTeK COMPUTER INC. N56JN	14119
ASUSTeK COMPUTER INC. N56VZ	14119
ASUSTeK COMPUTER INC. PU401LAC	14118
ASUSTeK COMPUTER INC. S300CA	14118
ASUSTeK COMPUTER INC. S400CA	14118
ASUSTeK COMPUTER INC. S451LN	14118
ASUSTeK COMPUTER INC. S500CA	14119
ASUSTeK COMPUTER INC. S550CA	14119
ASUSTeK COMPUTER INC. S550CM	14119
ASUSTeK COMPUTER INC. S551LB	14119
ASUSTeK COMPUTER INC. T100TA	14115
ASUSTeK COMPUTER INC. T200TA	14115
ASUSTeK COMPUTER INC. TP201SA	14115
ASUSTeK COMPUTER INC. TP300LA	14118
ASUSTeK COMPUTER INC. TP300LAB	14118
ASUSTeK COMPUTER INC. TP301UA	14118
ASUSTeK COMPUTER INC. TP500LA	14118
ASUSTeK COMPUTER INC. TP500LB	14118
ASUSTeK COMPUTER INC. TP500LN	14118
ASUSTeK COMPUTER INC. TP500LNG	14118
ASUSTeK COMPUTER INC. TP501UA	14118
ASUSTeK COMPUTER INC. TP501UB	14118
ASUSTeK COMPUTER INC. TP550LA	14115
ASUSTeK COMPUTER INC. TP550LD	14118
ASUSTeK COMPUTER INC. UX303UA	14119
ASUSTeK COMPUTER INC. UX305CA	14119
ASUSTeK COMPUTER INC. UX305FA	14119
ASUSTeK COMPUTER INC. UX310UA	14118
ASUSTeK COMPUTER INC. X101CH	14115
ASUSTeK COMPUTER INC. X201E	14115
ASUSTeK COMPUTER INC. X202E	14118
ASUSTeK COMPUTER INC. X205TA	14115
ASUSTeK COMPUTER INC. X302LA	14115
ASUSTeK COMPUTER INC. X402CA	14115
ASUSTeK COMPUTER INC. X441SA	14115
ASUSTeK COMPUTER INC. X441UA	14118
ASUSTeK COMPUTER INC. X441UV	14115
ASUSTeK COMPUTER INC. X450CA	14115
ASUSTeK COMPUTER INC. X451CA	14115
ASUSTeK COMPUTER INC. X451MA	14115
ASUSTeK COMPUTER INC. X453MA	14115
ASUSTeK COMPUTER INC. X453SA	14115
ASUSTeK COMPUTER INC. X455LA	14115
ASUSTeK COMPUTER INC. X455LD	14118
ASUSTeK COMPUTER INC. X456UA	14118
ASUSTeK COMPUTER INC. X45A	14115
ASUSTeK COMPUTER INC. X45C	14115
ASUSTeK COMPUTER INC. X501A	14115
ASUSTeK COMPUTER INC. X540LA	14115
ASUSTeK COMPUTER INC. X540LJ	14115
ASUSTeK COMPUTER INC. X540SA	14115
ASUSTeK COMPUTER INC. X540SC	14115
ASUSTeK COMPUTER INC. X541UA	14118
ASUSTeK COMPUTER INC. X541UV	14118
ASUSTeK COMPUTER INC. X550CA	14115
ASUSTeK COMPUTER INC. X550CC	14118
ASUSTeK COMPUTER INC. X550CL	14118
ASUSTeK COMPUTER INC. X550JK	14118
ASUSTeK COMPUTER INC. X550LA	14118
ASUSTeK COMPUTER INC. X550LC	14118
ASUSTeK COMPUTER INC. X550LD	14118
ASUSTeK COMPUTER INC. X551CA	14115
ASUSTeK COMPUTER INC. X551MA	14115
ASUSTeK COMPUTER INC. X553MA	14115
ASUSTeK COMPUTER INC. X553SA	14115
ASUSTeK COMPUTER INC. X555LF	14118
ASUSTeK COMPUTER INC. X555UA	14115
ASUSTeK COMPUTER INC. X555UJ	14118
ASUSTeK COMPUTER INC. X556UR	14118
ASUSTeK Computer Inc. K42JY	14118
ASUSTeK Computer Inc. K84L	14118
Acer AOHAPPY2	14115
Acer Aspire E1-410	14115
Acer Aspire E1-470G	14115
Acer Aspire E1-472	14115
Acer Aspire E1-531	14115
Acer Aspire E1-532	14115
Acer Aspire E1-570	14115
Acer Aspire E1-571	14115
Acer Aspire E1-571G	14115
Acer Aspire E1-572G	14115
Acer Aspire E3-112	14115
Acer Aspire E5-411	14115
Acer Aspire E5-471	14115
Acer Aspire E5-473	14115
Acer Aspire E5-511	14115
Acer Aspire E5-571	14118
Acer Aspire E5-571G	14118
Acer Aspire E5-572G	14118
Acer Aspire E5-573	14115
Acer Aspire E5-573G	14118
Acer Aspire E5-574	14118
Acer Aspire E5-574G	14118
Acer Aspire E5-575	14118
Acer Aspire E5-575G	14115
Acer Aspire E5-771	14115
Acer Aspire ES1-311	14115
Acer Aspire ES1-431	14115
Acer Aspire ES1-512	14115
Acer Aspire ES1-531	14115
Acer Aspire ES1-533	14115
Acer Aspire ES1-572	14115
Acer Aspire ES1-711	14115
Acer Aspire F5-571	14115
Acer Aspire F5-573	14115
Acer Aspire F5-573G	14118
Acer Aspire R3-131T	14115
Acer Aspire R3-471T	14115
Acer Aspire SW3-013	14115
Acer Aspire V3-331	14115
Acer Aspire V3-371	14118
Acer Aspire V3-372	14118
Acer Aspire V3-472	14118
Acer Aspire V3-571	14115
Acer Aspire V3-572	14118
Acer Aspire V3-572G	14118
Acer Aspire V3-574	14115
Acer Aspire V5-431	14115
Acer Aspire V5-431P	14115
Acer Aspire V5-471G	14115
Acer Aspire V5-473	14119
Acer Aspire V5-591G	14118
Acer E1-510	14115
Acer One Z1401	14115
Acer One Z1402	14115
Acer TravelMate P246-M	14118
Alienware Alienware 17	14119
Apple Inc. MacBookAir4,2	14119
Dell Inc. Inspiron 11 - 3147	14118
Dell Inc. Inspiron 11-3158	14118
Dell Inc. Inspiron 13-5368	14119
Dell Inc. Inspiron 13-5378	14119
Dell Inc. Inspiron 13-7359	14119
Dell Inc. Inspiron 14-3452	14115
Dell Inc. Inspiron 14-3467	14118
Dell Inc. Inspiron 15-3552	14115
Dell Inc. Inspiron 15-3567	14118
Dell Inc. Inspiron 15-7568	14119
Dell Inc. Inspiron 3169	14115
Dell Inc. Inspiron 3421	14115
Dell Inc. Inspiron 3437	14118
Dell Inc. Inspiron 3442	14115
Dell Inc. Inspiron 3443	14119
Dell Inc. Inspiron 3451	14115
Dell Inc. Inspiron 3458	14115
Dell Inc. Inspiron 3459	14118
Dell Inc. Inspiron 3520	14115
Dell Inc. Inspiron 3521	14115
Dell Inc. Inspiron 3537	14118
Dell Inc. Inspiron 3542	14118
Dell Inc. Inspiron 3543	14118
Dell Inc. Inspiron 3551	14115
Dell Inc. Inspiron 3558	14118
Dell Inc. Inspiron 3559	14118
Dell Inc. Inspiron 3647	14115
Dell Inc. Inspiron 3847	14115
Dell Inc. Inspiron 5423	14118
Dell Inc. Inspiron 5442	14118
Dell Inc. Inspiron 5447	14118
Dell Inc. Inspiron 5448	14118
Dell Inc. Inspiron 5458	14119
Dell Inc. Inspiron 5459	14119
Dell Inc. Inspiron 5521	14118
Dell Inc. Inspiron 5537	14118
Dell Inc. Inspiron 5542	14115
Dell Inc. Inspiron 5547	14118
Dell Inc. Inspiron 5548	14118
Dell Inc. Inspiron 5558	14119
Dell Inc. Inspiron 5559	14118
Dell Inc. Inspiron 7347	14119
Dell Inc. Inspiron 7348	14119
Dell Inc. Inspiron 7447	14119
Dell Inc. Inspiron 7460	14119
Dell Inc. Inspiron 7548	14119
Dell Inc. Inspiron 7559	14119
Dell Inc. Inspiron 7566	14119
Dell Inc. Inspiron N5110	14118
Dell Inc. Latitude 3340	14118
Dell Inc. Latitude 3350	14115
Dell Inc. Latitude 3440	14118
Dell Inc. Latitude 3450	14115
Dell Inc. Latitude 3470	14118
Dell Inc. Latitude 3540	14118
Dell Inc. Latitude 3550	14115
Dell Inc. Latitude 3570	14118
Dell Inc. Latitude E5450	14119
Dell Inc. Latitude E5540	14115
Dell Inc. Latitude E6440	14118
Dell Inc. Latitude E6530	14115
Dell Inc. Latitude E7240	14115
Dell Inc. Latitude E7450	14118
Dell Inc. OptiPlex 3020	14115
Dell Inc. Precision M4700	14119
Dell Inc. Precision M4800	14119
Dell Inc. Studio XPS 1640	14119
Dell Inc. Vostro 14-3468	14115
Dell Inc. Vostro 14-5459	14118
Dell Inc. Vostro 14-5480	14118
Dell Inc. Vostro 15-3568	14115
Dell Inc. Vostro 2420	14118
Dell Inc. Vostro 270	14118
Dell Inc. Vostro 3446	14118
Dell Inc. Vostro 3449	14118
Dell Inc. Vostro 3458	14115
Dell Inc. Vostro 3459	14118
Dell Inc. Vostro 3558	14118
Dell Inc. Vostro 3559	14118
Dell Inc. Vostro 3560	14118
Dell Inc. Vostro 3650	14115
Dell Inc. Vostro 3800	14115
Dell Inc. Vostro 3900	14115
Dell Inc. Vostro 5468	14119
Dell Inc. Vostro 5470	14118
Dell Inc. XPS 13 9343	14119
Dell Inc. XPS L421X	14118
HP HP ENVY Notebook	14119
HP HP Pavilion x360 Convertible	14118
HP HP ProBook 430 G3	14118
HP HP ProBook 440 G3	14118
HP HP ProBook 450 G3	14118
HP HP ProBook 450 G4	14119
Hewlett-Packard Compaq CQ45 Notebook PC	14115
Hewlett-Packard HP 2000 Notebook PC	14115
Hewlett-Packard HP 340 G2	14118
Hewlett-Packard HP 350 G1	14115
Hewlett-Packard HP 350 G2	14118
Hewlett-Packard HP ENVY 15 Notebook PC	14119
Hewlett-Packard HP ENVY 15 Notebook PC	14119
Hewlett-Packard HP ENVY 4 Notebook PC	14118
Hewlett-Packard HP EliteBook 2170p	14118
Hewlett-Packard HP EliteBook 840 G1	14115
Hewlett-Packard HP EliteBook 840 G2	14118
Hewlett-Packard HP EliteBook 8460p	14118
Hewlett-Packard HP EliteBook 8760w	14118
Hewlett-Packard HP EliteBook Folio 9480m	14118
Hewlett-Packard HP Pavilion 15 Notebook PC	14118
Hewlett-Packard HP Pavilion x360 Convertible	14118
Hewlett-Packard HP ProBook 430 G2	14118
Hewlett-Packard HP ProBook 4340s	14118
Hewlett-Packard HP ProBook 440 G2	14118
Hewlett-Packard HP ProBook 4430s	14118
Hewlett-Packard HP ProBook 4431s	14118
Hewlett-Packard HP ProBook 4440s	14115
Hewlett-Packard HP ProBook 450 G2	14115
Hewlett-Packard HP ProBook 4540s	14118
Hewlett-Packard HP ProBook 640 G1	14118
Hewlett-Packard HP Stream Notebook PC 11	14115
Hewlett-Packard HP Stream Notebook PC 13	14115
Hewlett-Packard Presario CQ43 Notebook PC	14115
LENOVO 20150	14118
LENOVO 20156	14115
LENOVO 20195	14115
LENOVO 20207	14115
LENOVO 20ETA00PVA	14118
LENOVO 20ETA021VN	14118
LENOVO 20EVA027VN	14118
LENOVO 80E5	14115
LENOVO 80Q3	14115
LENOVO 80RK	14115
LENOVO Lenovo G480	14115
MacBookAir4,2	14119
Micro-Star International Co., Ltd. CX62 6QD	14118
Micro-Star International Co., Ltd. GE60 2PC	14119
Micro-Star International Co., Ltd. GE60 2PL	14119
Micro-Star International Co., Ltd. GL62 6QE	14119
Micro-Star International Co., Ltd. GL72 6QF	14119
Sony Corporation SVE11125CVW	14115
Sony Corporation SVE14112EGP	14115
Sony Corporation SVE14112FXB	14118
Sony Corporation SVE14125CXB	14118
Sony Corporation SVE14A35CXH	14119
Sony Corporation SVE15115EGW	14118
Sony Corporation SVE15117FGP	14119
Sony Corporation SVE1511MFXS	14118
Sony Corporation SVE15125CXS	14119
Sony Corporation SVE15138CVB	14119
Sony Corporation SVF14217SGW	14118
Sony Corporation SVF1421BSGB	14118
Sony Corporation SVF1421BSGW	14119
Sony Corporation SVF1421ESGW	14118
Sony Corporation SVF14327SGB	14119
Sony Corporation SVF14327SGW	14118
Sony Corporation SVF14328SGB	14118
Sony Corporation SVF14328SGW	14119
Sony Corporation SVF14A15SGB	14119
Sony Corporation SVF14A15SGS	14119
Sony Corporation SVF14N13CXB	14119
Sony Corporation SVF15217SGB	14119
Sony Corporation SVF15217SGW	14119
Sony Corporation SVF1521BYAB	14118
Sony Corporation SVF1521BYGB	14118
Sony Corporation SVF15328SGW	14118
Sony Corporation SVF15A13SGB	14119
Sony Corporation SVS13117GGB	14119
Sony Corporation SVS13123CVB	14119
Sony Corporation SVS13123CVW	14118
Sony Corporation SVS13126PGB	14119
Sony Corporation SVS13132CVB	14119
Sony Corporation SVT11113FGS	14119
Sony Corporation SVT13122CXS	14118
Sony Corporation SVT13125CVS	14119
Sony Corporation SVT13136CVS	14119
Sony Corporation VGN-NW270F	14119
Sony Corporation VPCCA15FG	14119
Sony Corporation VPCCA35FG	14119
Sony Corporation VPCCW26FG	14119
Sony Corporation VPCEA42EG	14119
Sony Corporation VPCEA45FG	14119
Sony Corporation VPCEB1SFX	14119
Sony Corporation VPCEB33FM	14118
Sony Corporation VPCEB36GM	14119
Sony Corporation VPCEB42EG	14119
Sony Corporation VPCEG38FG	14119
Sony Corporation VPCEH35FM	14118
TOSHIBA Satellite C40-A	14118
TOSHIBA Satellite C50-B	14115
TOSHIBA Satellite C840	14115
TOSHIBA Satellite C850	14115
TOSHIBA Satellite L40-A	14118
TOSHIBA Satellite L50-A	14118
TOSHIBA Satellite L840	14118
TOSHIBA Satellite L850	14115
TOSHIBA Satellite M840	14115
eMachines eMD729	14119
